STT,URL_goc,Trang_web,Trang_thai,Thoi_gian_crawl,Liên hệ,Ngày đăng,Ngày hết hạn,NĂM,Đơn vị tuyển dụng,Lĩnh vực,Vị trí,Số lượng tuyển,Nơi làm việc,Mô tả,"Mô tả yêu cầu công việc (chuẩn hoá mô tả,…)",Kiến thức,"Kiến thức (chuẩn hoá môn gì,…)","Kiến thức về Hệ điều hành (Windows, Linux, MacOS,…) Unix","Kiến thức về Cơ sở dữ liệu (MySQL, Postgrespl, SQL Server,...) Oracle, MsSQL, APAC, NoSQL","Ngôn ngữ lập trình căn bản (C, C++,...) Java","Ngôn ngữ lập trình nâng cao (.NET, C#, Python,...) Ruby, VBScript, VB.Net VBA","Ngôn ngữ lập trình Web (HTML, DOM, Xpath, CSS, Javascript,...) Ui Element, MVC, ASP.NET","Tích hợp hệ thống (Web Services, AWS, JSON, XML,...) APIs","Một số công nghệ mới nổi (AI, Big Data, Blockchain, RFID, IoT,…) BI Tool, Đám mây(Azure, Máy ảo), ML","Một số công nghệ tự động hóa (Selenium, UiPath, SAP iRPA, RPA, Power Automation, Blue Prism, Automation Anywhere,…)","Quản lý dự án (Agile, Scrum, Git,...) Kanban, BA, BPM, Jira",Kỹ năng,"Kỹ năng (chuẩn hoá kỹ năng gì,…)",Ngoại ngữ tiếng Anh,"Ngoại ngữ khác (Nhật, Trung, Pháp,...)","Kỹ năng mềm (Giao tiếp, làm việc cộng tác,…)",Thái độ,Thái độ (chuẩn hoá thái độ gì),"Thái độ (có tinh thần cầu tiền, tuân thủ kỷ luật,..)",Kinh nghiệm,Kinh nghiệm (chuẩn hoá kinh nghiệm gì),Khác,Khác (chuẩn hoá),"Bằng cấp đúng chuyên môn (CNTT, HTTTQL, HTTT,…)","Có chứng chỉ liên quan đến RPA (UiPath, Blue Prism, Power BI,...)",Có kinh nghiệm liên quan đến Tự động hóa,Kinh nghiệm làm việc,Thu nhập & Quyền lợi,Thu nhập & quyền lợi (chuẩn hoá),Hình thức làm việc
1,https://hrplus.com.vn/jobs/hrp2387-ha-noi-ba-dinh-cong-ty-chuyen-cong-nghe-dan-dau-trong-linh-vuc-so-hoa-co-so-ha-tang-va-cong-trinh-xay-dung-tuyen-dung-rpa-developer-chuyen-vien-phat-trien-tu-dong-hoa-quy-trinh/?utm_source=jobstreetvn&utm_campaign=jobstreetvn&utm_medium=organic,hrplus.com.vn,THÀNH_CÔNG,2025-09-16 23:56:44,"+84-9132934695, yenlan.le@hrplus.com.vn",N/A,24/07/2025,2025,Công ty 100% vốn Nhật,số hóa cơ sở hạ tầng và công trình xây dựng,RPA Developer (Chuyên viên phát triển tự động hóa quy trình),01,Ba Đình – Hà Nội/ Bình Thạnh – Tp Hồ Chí Minh,"a. Đánh giá và Xác định phạm vi quy trình
– Phối hợp với các bên liên quan trong kinh doanh, chủ yếu là Socotec Pháp, để xác định và đánh giá các quy trình kinh doanh phù hợp để tự động hóa.
– Phân tích độ phức tạp của quy trình, tính khả thi về mặt kỹ thuật và lợi ích kỳ vọng.
– Chuẩn bị và trình bày ước tính ngân sách, đánh giá khối lượng công việc và thời gian triển khai cho các quy trình được đề xuất tự động hóa.
b. Phát triển & Kiểm thử RPA
– Thiết kế, phát triển và triển khai các giải pháp tự động hóa bằng UiPath dựa trên các quy trình đã được phê duyệt.
– Thực hiện kiểm thử đơn vị (unit test) và phối hợp chặt chẽ với đối tác Pháp để kiểm thử đầu-cuối (end-to-end) và xác nhận kết quả.
– Tài liệu hóa thiết kế kỹ thuật, cấu hình hệ thống, và hướng dẫn sử dụng.
c. Giám sát và Bảo trì
– Cung cấp hỗ trợ liên tục, giám sát và xử lý sự cố cho các bot đã được triển khai.
– Chủ động xử lý các tình huống ngoại lệ và thực hiện các biện pháp khắc phục nhằm đảm bảo quy trình tự động luôn hoạt động liên tục.
– Quản lý phiên bản và cập nhật đầy đủ tài liệu liên quan.",N/A,"Hiểu rõ cả về khía cạnh nghiệp vụ và kỹ thuật trong tự động hóa quy trình. Hiểu biết về vẽ sơ đồ quy trình, luồng công việc doanh nghiệp, và kiến trúc hệ thống tự động hóa.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"AI, ML, OCR",UiPath,N/A,"Thành thạo UiPath Studio, UiPath Orchestrator và các thực hành tốt nhất trong triển khai tự động hóa. Có kinh nghiệm làm việc với các nhóm quốc tế, đặc biệt là với các tổ chức của Pháp.","Triển khai tự động hóa, làm việc nhóm quốc tế, UiPath Studio, UiPath Orchestrator",Tốt,Tiếng Pháp tốt hoặc Tiếng Pháp trung cấp,N/A,N/A,N/A,N/A,"Từ 3 đến 8 năm kinh nghiệm trong lĩnh vực CNTT hoặc các vai trò liên quan đến tự động hóa, trong đó ít nhất 2 năm làm việc với RPA bằng UiPath.","CNTT, tự động hóa, RPA (UiPath)",N/A,N/A,N/A,UiPath (Ưu tiên),ít nhất 2 năm làm việc với RPA bằng UiPath,3-8 năm,"Thỏa thuận (upto 40tr), Mức lương và thưởng hấp dẫn, được xét tăng hàng năm, Đóng bảo hiểm đầy đủ. Thời gian làm việc linh hoạt, có 12 ngày phép năm và 15 ngày làm việc từ xa (work from home), Tham gia các hoạt động team-building, câu lạc bộ thể thao, Hợp tác với đồng nghiệp toàn cầu trong một tập đoàn quốc tế hàng đầu, Môi trường làm việc năng động, tinh thần đồng đội cao, đậm chất khởi nghiệp trong một công ty đang phát triển, Đề cao giá trị con người, trách nhiệm xã hội, và phát triển bền vững, Tham gia các khóa đào tạo nội bộ (kỹ thuật, ngoại ngữ, kỹ năng mềm), Cơ hội phát triển bản thân và thăng tiến nghề nghiệp","upto 40tr, thưởng hấp dẫn, bảo hiểm đầy đủ, 12 ngày phép/năm, 15 ngày làm việc từ xa, team building, đào tạo nội bộ",Toàn thời gian
2,https://www.jobstreet.vn/job/rd/2f78a989928f55ce1e83f988284fb011?abstract_type=original&asp=serp_jdv&disallow=true&fsv=true&sp=serp_jdv&sq=rpa&sr=4&tk=Gl1xlxAspGr7Yx0BnmAs-5NiVAbdO5vzB4V3kx8J9,jobstreet.vn,KHÔNG_TẢI_ĐƯỢC_TRANG,2025-09-16 23:57:05,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
3,https://manage.ybox.vn/tuyen-dung/online-hn-cong-ty-sisua-digital-viet-nam-tuyen-dung-nhan-vien-rpa-developer-full-time-2025-68be8259434c085f9875c559,manage.ybox.vn,THÀNH_CÔNG,2025-09-16 23:57:06,N/A,8 ngày trước,10/15/2025,2025,Công Ty Sisua Digital Việt Nam,"IT (Lập trình, Công nghệ thông tin, Internet, ...)",Nhân Viên RPA Developer,N/A,Hà Nội,"Thiết kế và phát triển các dự án tự động hóa bằng UiPath và các công cụ khác, đảm bảo phù hợp với các yêu cầu kinh doanh và kỹ thuật. Phân tích quy trình và tạo luồng công việc chi tiết, bao gồm xử lý ngoại lệ, logic quyết định và tích hợp với các hệ thống và cơ sở dữ liệu hiện có. Kiểm tra kỹ lưỡng các giải pháp tự động hóa (kiểm thử đơn vị, UAT, tích hợp và đầu cuối) để đảm bảo tính ổn định, hiệu suất và độ chính xác. Triển khai, giám sát và tối ưu hóa bot trong môi trường sản xuất, đảm bảo hoạt động trơn tru và thời gian ngừng hoạt động tối thiểu. Khắc phục sự cố và giải quyết vấn đề, thực hiện gỡ lỗi và liên tục nâng cao các giải pháp tự động hóa để cải thiện hiệu quả. Tài liệu hóa các quy trình tự động hóa và thông số kỹ thuật rõ ràng để bảo trì trong tương lai, đánh giá ngang hàng và chuyển giao kiến thức. Hợp tác với các chuyên gia tư vấn giải pháp và nhóm CNTT để cung cấp các dự án tự động hóa chất lượng cao và cung cấp cập nhật cho các bên liên quan. Hỗ trợ đào tạo và chuyển giao kiến thức cho người dùng cuối và nhóm hỗ trợ để đảm bảo việc áp dụng các giải pháp tự động hóa hiệu quả. Luôn cập nhật các công nghệ/thực tiễn tốt nhất về RPA/tự động hóa mới nhất để thúc đẩy đổi mới và cải tiến liên tục.",N/A,"Tốt nghiệp các ngành Công nghệ Thông tin/Kỹ thuật phần mềm/Kỹ thuật máy tính/Khoa học máy tính/ Cơ điện tử hoặc chuyên ngành liên quan. Thành thạo tiếng Anh và kỹ năng giao tiếp, khả năng giao tiếp tự tin với khách hàng quốc tế. Ít nhất 6 tháng kinh nghiệm lập trình hoặc triển khai dự án RPA (ưu tiên). Thành thạo ít nhất một trong các ngôn ngữ lập trình: C#, C++, VB.Net, Python. Khả năng làm việc độc lập và nhóm, phân tích và giải quyết vấn đề tốt. Tinh thần học hỏi và thích nghi với công nghệ mới. Ưu tiên ứng viên có kinh nghiệm về RPA và giải pháp UiPath, chứng chỉ UiPath.",N/A,N/A,N/A,"C#, C++, VB.Net, Python",".NET, C#, VB.Net, Python",N/A,N/A,N/A,"UiPath, RPA",N/A,"Giao tiếp, làm việc nhóm, phân tích và giải quyết vấn đề, học hỏi và thích nghi.","Giao tiếp, Làm việc nhóm, Giải quyết vấn đề, Học hỏi",Thành thạo,N/A,"Giao tiếp, làm việc nhóm",Tinh thần học hỏi và thích nghi với công nghệ mới,"Học hỏi, Thích nghi",N/A,Ít nhất 6 tháng kinh nghiệm lập trình hoặc triển khai dự án RPA (ưu tiên). Ưu tiên ứng viên có kinh nghiệm về RPA và giải pháp UiPath.,"RPA, UiPath, Lập trình",N/A,N/A,Công nghệ Thông tin/Kỹ thuật phần mềm/Kỹ thuật máy tính/Khoa học máy tính/ Cơ điện tử hoặc chuyên ngành liên quan,UiPath,Có,6 tháng trở lên (ưu tiên),"Thỏa thuận, thưởng tháng 13, quà sinh nhật, bảo hiểm xã hội đầy đủ, khám sức khỏe hàng năm, 12 ngày phép năm, trang thiết bị hiện đại, làm việc linh hoạt (hybrid), văn hóa công ty năng động, cà phê và đồ ăn nhẹ miễn phí.","Thỏa thuận, Thưởng 13 tháng lương, Bảo hiểm xã hội, Khám sức khỏe, Nghỉ phép, Trang thiết bị làm việc, Làm việc linh hoạt, Văn hóa công ty",Toàn thời gian; Online; Hybrid
4,https://vn.joboko.com/viec-lam-online-cong-ty-digisea-tuyen-dung-nhan-vien-rpa-developer-junior-full-time-2025-xvi5868087,vn.joboko.com,THÀNH_CÔNG,2025-09-16 23:57:21,N/A,N/A,24/08/2025,2025,Công Ty DIGISEA,"IT (Lập trình, Công nghệ thông tin, Internet, ...)",Nhân Viên RPA Developer (Junior),N/A,Nước Ngoài; Hà Nội; Hồ Chí Minh; Đà Nẵng; Huế; Khác,Develop and deploy RPA solutions based on project requirements. Collaborate with Business Analysts (BA) to understand requirements and design automation processes. Conduct User Acceptance Testing (UAT) and optimize automation bots. Ensure clear and complete documentation of RPA development processes. Support the maintenance and updates of bots as needed.,N/A,"Kiến thức cơ bản về các nền tảng RPA như UiPath, Automation Anywhere, hoặc Blue Prism.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"UiPath, Automation Anywhere, Blue Prism",N/A,"Kỹ năng làm việc nhóm tốt, kỹ năng giao tiếp và quản lý thời gian.","Làm việc nhóm, Giao tiếp, Quản lý thời gian","Khả năng giao tiếp tiếng Anh tốt, khả năng làm việc với tài liệu kỹ thuật bằng tiếng Anh.",N/A,"Làm việc nhóm, Giao tiếp",N/A,N/A,N/A,1-2 năm kinh nghiệm trong phát triển phần mềm hoặc RPA (kinh nghiệm thực tập được chấp nhận).,"Phát triển phần mềm, RPA",N/A,N/A,"Tốt nghiệp đại học chuyên ngành Công nghệ thông tin, Khoa học máy tính hoặc các lĩnh vực liên quan.",N/A,Có 1-2 năm kinh nghiệm trong phát triển phần mềm hoặc RPA,1-2 năm,"Thỏa thuận, BHYT, BHXH, 12 ngày phép, làm việc từ xa","Thỏa thuận, BHXH, BHYT, 12 ngày phép, làm việc từ xa","Full-time, Online"
5,https://www.topcv.vn/viec-lam/rpa-developer/1843194.html,topcv.vn,THÀNH_CÔNG,2025-09-16 23:57:32,N/A,N/A,N/A,N/A,N/A,N/A,RPA Developer,N/A,Hồ Chí Minh: Quận 1,Phát triển và triển khai các giải pháp tự động hóa quy trình bằng robot (RPA). Phân tích các quy trình kinh doanh hiện tại và xác định các phần để tự động hóa. Triển khai và duy trì các robot RPA. Hỗ trợ người dùng sử dụng các robot RPA và giải quyết các vấn đề phát sinh. Theo dõi hiệu suất của các robot RPA và thực hiện các cải tiến cần thiết. Làm việc với các nhóm khác trong doanh nghiệp để đảm bảo rằng các robot RPA được sử dụng hiệu quả và phù hợp với nhu cầu kinh doanh.,N/A,"Phân tích và thiết kế quy trình kinh doanh, RPA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Power Automate, RPA",N/A,"Phân tích, thiết kế quy trình kinh doanh; Làm việc độc lập và nhóm; Giao tiếp và giải quyết vấn đề; Tiếng Anh","Phân tích, thiết kế, giao tiếp, giải quyết vấn đề, tiếng Anh",Có khả năng giao tiếp,N/A,"Làm việc độc lập và nhóm, Giao tiếp và giải quyết vấn đề",N/A,N/A,N/A,1 năm kinh nghiệm; Kinh nghiệm thực tế về Power automate,"1 năm kinh nghiệm trong RPA, Power Automate",N/A,N/A,N/A,N/A,Có,1,"Bảo hiểm xã hội, Bảo hiểm y tế; Nhân viên được hưởng lương tháng 13 và thưởng các dịp lễ, Tết - theo chính sách công ty từng năm; Tăng lương định kỳ: Review lương dựa trên năng lực và kết quả công việc hàng năm; Đánh giá minh bạch, công bằng; Trang bị hiện đại: Laptop làm việc tiên tiến, hỗ trợ công cụ đầy đủ","Bảo hiểm xã hội, Bảo hiểm y tế, Lương tháng 13, Thưởng lễ tết, Tăng lương định kỳ, Đánh giá minh bạch, Laptop, công cụ hỗ trợ",N/A
6,https://www.topcv.vn/viec-lam/rpa-developer/1843194.html,topcv.vn,THÀNH_CÔNG,2025-09-16 23:57:43,N/A,N/A,N/A,N/A,N/A,N/A,RPA Developer,N/A,Hồ Chí Minh: Quận 1,Phát triển và triển khai các giải pháp tự động hóa quy trình bằng robot (RPA). Phân tích các quy trình kinh doanh hiện tại và xác định các phần để tự động hóa. Triển khai và duy trì các robot RPA. Hỗ trợ người dùng sử dụng các robot RPA và giải quyết các vấn đề phát sinh. Theo dõi hiệu suất của các robot RPA và thực hiện các cải tiến cần thiết. Làm việc với các nhóm khác trong doanh nghiệp để đảm bảo rằng các robot RPA được sử dụng hiệu quả và phù hợp với nhu cầu kinh doanh.,N/A,"Phân tích và thiết kế quy trình kinh doanh, RPA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Power Automate, RPA",N/A,"Phân tích, thiết kế quy trình kinh doanh; Làm việc độc lập và nhóm; Giao tiếp và giải quyết vấn đề; Tiếng Anh","Phân tích, thiết kế, Giao tiếp, Giải quyết vấn đề, Tiếng Anh",Có khả năng giao tiếp,N/A,"Giao tiếp, làm việc nhóm",N/A,N/A,N/A,1 năm kinh nghiệm; Kinh nghiệm thực tế về Power automate,"1 năm kinh nghiệm, Power Automate",N/A,N/A,N/A,N/A,Có,1,"Bảo hiểm xã hội, Bảo hiểm y tế; Nhân viên được hưởng lương tháng 13 và thưởng các dịp lễ, Tết - theo chính sách công ty từng năm; Tăng lương định kỳ: Review lương dựa trên năng lực và kết quả công việc hàng năm; Đánh giá minh bạch, công bằng; Trang bị hiện đại: Laptop làm việc tiên tiến, hỗ trợ công cụ đầy đủ","Bảo hiểm xã hội, Bảo hiểm y tế, Lương tháng 13, Thưởng lễ tết, Tăng lương định kỳ, Đánh giá minh bạch, Laptop, Công cụ hỗ trợ",Full-time
7,https://jobsgo.vn/viec-lam/rpa-developer-automation-anywhere-power-automate-22816915911.html,jobsgo.vn,KHÔNG_TẢI_ĐƯỢC_TRANG,2025-09-16 23:57:53,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
8,https://web.facebook.com/groups/vieclamtiengphaphcm/posts/2763191767218568/?_rdc=1&_rdr#,web.facebook.com,THÀNH_CÔNG,2025-09-16 23:57:56,N/A,N/A,N/A,N/A,SOCOTEC VIETNAM,N/A,Lập trình viên RPA,1,N/A,Việc làm tiếng Pháp | > SOCOTEC VIETNAM CẦN TUYỂN GẤP 1 LẬP TRÌNH VIÊN RPA – LƯƠNG HẤP DẪN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RPA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LƯƠNG HẤP DẪN,N/A,N/A
9,https://www.topcv.vn/viec-lam/rpa-developer/1038884.html?basic-ui=1,topcv.vn,THÀNH_CÔNG,2025-09-16 23:58:04,N/A,N/A,N/A,N/A,N/A,N/A,RPA Developer,N/A,Hồ Chí Minh: Quận 1,"Develop automation solutions using akaBot, UiPath, Blue Prism frameworks. Design and develop robots to automate business processes. Collaborate with Business Analysts (BA) to gather requirements, design, develop, and hand over solutions to the Deployment team. Engage directly with end users when needed to understand business processes and enhance automation solutions.",N/A,"Hiểu biết về các phần tử giao diện người dùng, API và giao diện cơ sở dữ liệu.",N/A,N/A,N/A,"C/C++, Java",".NET, Python, Ruby, VB Script",JavaScript,APIs,N/A,"akaBot, UiPath, Blue Prism, Automation Anywhere",N/A,Kỹ năng giao tiếp tốt bằng tiếng Anh. Khả năng phân tích và hiểu kiến trúc hệ thống hiện có. Kỹ năng hợp tác và tương tác nhóm hiệu quả.,"Communication skills (English), System architecture analysis, Team collaboration",Good,N/A,"Giao tiếp, làm việc nhóm",N/A,N/A,N/A,"Ít nhất 1 năm kinh nghiệm trong một hoặc nhiều ngôn ngữ lập trình: C/C++, Python, VB Script, Ruby, Java, JavaScript, .NET. Kinh nghiệm với các nền tảng RPA như Blue Prism, Automation Anywhere, UiPath.","1+ years experience in programming languages (C/C++, Python, VB Script, Ruby, Java, JavaScript, .NET); RPA platforms experience (Blue Prism, Automation Anywhere, UiPath)",N/A,N/A,N/A,N/A,Yes,1+,"Competitive Salary: Includes performance-based bonuses. 13th-Month Salary & Additional Bonuses: Project bonuses, business performance bonuses, and other incentives based on individual and team achievements. Health & Insurance: Participation in FPTCare insurance for both employees and their families, including periodic health check-ups. Overseas Assignments: Opportunities for short-term or long-term overseas assignments. Dynamic Work Environment: Modern office, open and creative spaces that foster collaboration and idea exchange. Continuous Development: Both hard and soft skills development through practical work experience and professional training programs. Technology Access: Exposure to the latest technology trends. Annual Leave & Vacations: 12 days of annual leave, 3 additional summer vacation days, and public holidays as per regulations. Annual Salary Review: Regular salary reviews to ensure competitiveness. Housing/Vehicle Support: Consideration for housing or vehicle purchases. Cultural Activities: Participation in exciting cultural events and activities organized by FPT IS and the FPT Corporation.","Competitive salary with performance-based bonuses, 13th-month salary, additional bonuses, health insurance, overseas assignment opportunities, modern work environment, continuous development programs, technology access, annual leave, salary review, housing/vehicle support, cultural activities.",N/A
10,https://www.topcv.vn/viec-lam/product-owner-for-api-rpa-crm-automation-remote/1591082.html?ta_source=JobSearchList_LinkDetail&u_sr_id=rXaJzwUy640546xYeHZafmg93aVXa9sQ9rH2qxc0_1758022824,topcv.vn,THÀNH_CÔNG,2025-09-16 23:58:16,N/A,N/A,N/A,N/A,N/A,N/A,Product Owner For API/RPA/CRM Automation,N/A,Hồ Chí Minh,"Domain: data sync utility, API/RPA process automation,
Gather business and system requirements from Stakeholders / Product owners
Design the solution so it's efficient and effective to maintain, deploy from dev to staging to production, investigate bugs, document testing result, etc...
Design application mockup/wireframe using prototyping tools and model the requirements by using charting tools
Translate requirements into various documentation deliverables such as functional specifications, use cases, user stories, workflow/process diagrams, and data flow/data model diagrams.
Assist Stakeholders / Product owners to define requirements, suggesting ideas, and provide solutions
Communicate with Stakeholders / Product owners to clarify any unclear information about the business requirements, tasks/ad-hoc tasks
Analyze and specify requirements, synthesize information provided by Stakeholders / Product owners
Assess the feasibility of the request when given a set of constraints
Analyze the impact of change requests/enhancements
Work closely with the Development team to clarify tasks/ad-hoc tasks
Review and assist testing during development/incident support and monitoring the solutions after deployment
Ensure the assigned tasks to be performed on-time and with high quality.
Weekly and/or on-demand report to supervisor.
Follow the project and organization processes, policies and regulations.",N/A,"ERP, API, RPA, Accounting Software, Jira, Confluence, DevOps, Draw.io, Python, Django, Selenium, Postman, Power Automate Desktop",N/A,N/A,N/A,Python,"Python, Django, Selenium",N/A,APIs,N/A,"Selenium, Power Automate Desktop, RPA","Agile, Jira","Excellent verbal and written communication skills in English, well organized and detail-oriented","Communication (written and verbal), Organization, Detail-oriented",Excellent,N/A,Communication,N/A,N/A,N/A,3+ years experience in leading a small team with ERP/API/RPA domain and/or Accounting Software,"3+ years experience in team leadership, ERP, API, RPA, Accounting Software",N/A,N/A,"BSc degree in Computer Science, Information Technology, Data Analytics or relevant fields",N/A,Yes,3+,"13th-month salary
12 days of paid time off, accrued every month
Performance bonus
Social insurance, health insurance, unemployment insurance and other benefits
Many opportunities for personal and professional development.
Company trip and team building events
Ăn trưa, Cước điện thoại
Bảo hiểm xã hội, Team building, Du lịch hàng năm, Thưởng tháng 13, Thưởng hiệu quả làm việc","13th-month salary, Paid time off, Performance bonus, Social insurance, health insurance, unemployment insurance, Personal and professional development opportunities, Company trip, Team building events, Lunch allowance, Phone allowance",Remote
